fund_name,date,nav
HDFC Top 100 Fund - Direct Plan - Growth,05-09-2017,148.44610
HDFC Top 100 Fund - Direct Plan - Growth,04-09-2017,148.44190
HDFC Top 100 Fund - Direct Plan - Growth,01-09-2017,148.35900
HDFC Top 100 Fund - Direct Plan - Growth,31-08-2017,148.18100
HDFC Top 100 Fund - Direct Plan - Growth,30-08-2017,148.10910
HDFC Top 100 Fund - Direct Plan - Growth,29-08-2017,148.09330
HDFC Top 100 Fund - Direct Plan - Growth,28-08-2017,148.02220
HDFC Top 100 Fund - Direct Plan - Growth,24-08-2017,147.94500
HDFC Top 100 Fund - Direct Plan - Growth,23-08-2017,147.91460
HDFC Top 100 Fund - Direct Plan - Growth,22-08-2017,147.90180
HDFC Top 100 Fund - Direct Plan - Growth,21-08-2017,147.90300
HDFC Top 100 Fund - Direct Plan - Growth,18-08-2017,147.81820
HDFC Top 100 Fund - Direct Plan - Growth,16-08-2017,147.70530
HDFC Top 100 Fund - Direct Plan - Growth,14-08-2017,147.70870
HDFC Top 100 Fund - Direct Plan - Growth,11-08-2017,147.65610
HDFC Top 100 Fund - Direct Plan - Growth,10-08-2017,147.67440
HDFC Top 100 Fund - Direct Plan - Growth,09-08-2017,147.72440
HDFC Top 100 Fund - Direct Plan - Growth,08-08-2017,147.70570
HDFC Top 100 Fund - Direct Plan - Growth,07-08-2017,147.68210
HDFC Top 100 Fund - Direct Plan - Growth,04-08-2017,147.64950
HDFC Top 100 Fund - Direct Plan - Growth,03-08-2017,147.62120
HDFC Top 100 Fund - Direct Plan - Growth,02-08-2017,147.33590
HDFC Top 100 Fund - Direct Plan - Growth,01-08-2017,147.26540
HDFC Top 100 Fund - Direct Plan - Growth,31-07-2017,147.19810
HDFC Top 100 Fund - Direct Plan - Growth,28-07-2017,147.16040
HDFC Top 100 Fund - Direct Plan - Growth,27-07-2017,147.17080
HDFC Top 100 Fund - Direct Plan - Growth,26-07-2017,147.09970
HDFC Top 100 Fund - Direct Plan - Growth,25-07-2017,147.13730
HDFC Top 100 Fund - Direct Plan - Growth,24-07-2017,147.13280
HDFC Top 100 Fund - Direct Plan - Growth,21-07-2017,146.98210
HDFC Top 100 Fund - Direct Plan - Growth,20-07-2017,146.81570
HDFC Top 100 Fund - Direct Plan - Growth,19-07-2017,146.76680
HDFC Top 100 Fund - Direct Plan - Growth,18-07-2017,146.67890
HDFC Top 100 Fund - Direct Plan - Growth,17-07-2017,146.61410
HDFC Top 100 Fund - Direct Plan - Growth,14-07-2017,146.48020
HDFC Top 100 Fund - Direct Plan - Growth,13-07-2017,146.45680
HDFC Top 100 Fund - Direct Plan - Growth,12-07-2017,146.38240
HDFC Top 100 Fund - Direct Plan - Growth,11-07-2017,146.31050
HDFC Top 100 Fund - Direct Plan - Growth,10-07-2017,146.24430
HDFC Top 100 Fund - Direct Plan - Growth,07-07-2017,145.98880
HDFC Top 100 Fund - Direct Plan - Growth,06-07-2017,145.93710
HDFC Top 100 Fund - Direct Plan - Growth,05-07-2017,145.84980
HDFC Top 100 Fund - Direct Plan - Growth,04-07-2017,145.75820
HDFC Top 100 Fund - Direct Plan - Growth,03-07-2017,145.66630
HDFC Top 100 Fund - Direct Plan - Growth,30-06-2017,145.83940
HDFC Top 100 Fund - Direct Plan - Growth,29-06-2017,145.84760
HDFC Top 100 Fund - Direct Plan - Growth,28-06-2017,145.84910
HDFC Top 100 Fund - Direct Plan - Growth,27-06-2017,145.94490
HDFC Top 100 Fund - Direct Plan - Growth,23-06-2017,145.88130
HDFC Top 100 Fund - Direct Plan - Growth,22-06-2017,145.87350
HDFC Top 100 Fund - Direct Plan - Growth,21-06-2017,145.88890
HDFC Top 100 Fund - Direct Plan - Growth,20-06-2017,145.80160
HDFC Top 100 Fund - Direct Plan - Growth,19-06-2017,145.77420
HDFC Top 100 Fund - Direct Plan - Growth,16-06-2017,145.67980
HDFC Top 100 Fund - Direct Plan - Growth,15-06-2017,145.69790
HDFC Top 100 Fund - Direct Plan - Growth,14-06-2017,145.66070
HDFC Top 100 Fund - Direct Plan - Growth,13-06-2017,145.64030
HDFC Top 100 Fund - Direct Plan - Growth,12-06-2017,145.53410
HDFC Top 100 Fund - Direct Plan - Growth,09-06-2017,145.44470
HDFC Top 100 Fund - Direct Plan - Growth,08-06-2017,145.33160
HDFC Top 100 Fund - Direct Plan - Growth,07-06-2017,144.95070
HDFC Top 100 Fund - Direct Plan - Growth,06-06-2017,144.57010
HDFC Top 100 Fund - Direct Plan - Growth,05-06-2017,144.54090
HDFC Top 100 Fund - Direct Plan - Growth,02-06-2017,144.49500
HDFC Top 100 Fund - Direct Plan - Growth,01-06-2017,144.43770
HDFC Top 100 Fund - Direct Plan - Growth,31-05-2017,144.25260
HDFC Top 100 Fund - Direct Plan - Growth,30-05-2017,144.16950
HDFC Top 100 Fund - Direct Plan - Growth,29-05-2017,144.13900
HDFC Top 100 Fund - Direct Plan - Growth,26-05-2017,144.13900
HDFC Top 100 Fund - Direct Plan - Growth,25-05-2017,144.01820
HDFC Top 100 Fund - Direct Plan - Growth,24-05-2017,143.90930
HDFC Top 100 Fund - Direct Plan - Growth,23-05-2017,143.86820
HDFC Top 100 Fund - Direct Plan - Growth,22-05-2017,143.78990
HDFC Top 100 Fund - Direct Plan - Growth,19-05-2017,143.61110
HDFC Top 100 Fund - Direct Plan - Growth,18-05-2017,143.59920
HDFC Top 100 Fund - Direct Plan - Growth,17-05-2017,143.56830
HDFC Top 100 Fund - Direct Plan - Growth,16-05-2017,143.54360
HDFC Top 100 Fund - Direct Plan - Growth,15-05-2017,143.57180
HDFC Top 100 Fund - Direct Plan - Growth,12-05-2017,143.19100
HDFC Top 100 Fund - Direct Plan - Growth,11-05-2017,143.07820
HDFC Top 100 Fund - Direct Plan - Growth,09-05-2017,143.02250
HDFC Top 100 Fund - Direct Plan - Growth,08-05-2017,143.01710
HDFC Top 100 Fund - Direct Plan - Growth,05-05-2017,142.88810
HDFC Top 100 Fund - Direct Plan - Growth,04-05-2017,142.78100
HDFC Top 100 Fund - Direct Plan - Growth,03-05-2017,142.78040
HDFC Top 100 Fund - Direct Plan - Growth,02-05-2017,142.72610
HDFC Top 100 Fund - Direct Plan - Growth,28-04-2017,142.70910
HDFC Top 100 Fund - Direct Plan - Growth,27-04-2017,142.71180
HDFC Top 100 Fund - Direct Plan - Growth,26-04-2017,142.70880
HDFC Top 100 Fund - Direct Plan - Growth,25-04-2017,142.83760
HDFC Top 100 Fund - Direct Plan - Growth,24-04-2017,142.70630
HDFC Top 100 Fund - Direct Plan - Growth,21-04-2017,142.63450
HDFC Top 100 Fund - Direct Plan - Growth,20-04-2017,142.79910
HDFC Top 100 Fund - Direct Plan - Growth,19-04-2017,142.79660
HDFC Top 100 Fund - Direct Plan - Growth,18-04-2017,142.65250
